ID;Requirement;Citation;EARS;Classification;Type;Notes / Actions needed
1;The Electric Coffee Mug Heater SHALL maintain beverages at optimal drinking temperatures over extended periods;"""This document provides a comprehensive technical description of the Electric Coffee Mug Heater, a device designed to maintain beverages at optimal drinking temperatures over extended periods.""";Ubiquitous;Ambiguous,Unverifiable;Non-Functional;"Optimal drinking temperatures and extended periods of time"" is not quantified. Seek clarification."
2;The Electric Coffee Mug Heater SHALL be powered using USB Power Delivery (USB PD).;"""The Electric Coffee Mug Heater shall be powered using USB Power Delivery (USB PD) as defined in Section 3.""";Ubiquitous;Explicit;Non-Functional;
3;The Electric Coffee Mug Heater SHALL not exceed the maximum power supply limits specified by the USB PD standard.;"""It is crucial that the maximum power supply limits specified by the USB PD standard are not exceeded to ensure safety and compatibility.""";Ubiquitous;Explicit;Non-Functional;
4;The Electric Coffee Mug Heater SHALL comply with the necessary certifications for North America.;"""The target markets for this product are North America and the European Union, and the necessary compliance and certifications for these regions are detailed in Section 5.""";Ubiquitous;Explicit;Non-Functional;
5;The Electric Coffee Mug Heater SHALL comply with the necessary certifications for the European Union.;"""The target markets for this product are North America and the European Union, and the necessary compliance and certifications for these regions are detailed in Section 5.""";Ubiquitous;Explicit;Non-Functional;
alt. 5b;WHERE sold in North America or the EU the Electric Coffee Mug Heater SHALL meet required regional compliance and certifications.;"""The target markets for this product are North America and the European Union, and the necessary compliance and certifications for these regions are detailed in Section 5.""";Optional;Explicit;Non-Functional;
6;The Electric Coffee Mug Heater SHALL integrate sustainability considerations into all facets of product design.;"""Therefore, sustainability considerations should be integrated into all facets of product design and marketing to align with consumer values.""";Ubiquitous;Ambiguous,Unverifiable;Non-Functional;Sustainability considerations need more specific definitions. Seek clarification.
7;The Electric Coffee Mug Heater SHALL be compatible with the Cozy Coffee Mug.;"""Compatibility with the Cozy Coffee Mug is a fundamental requirement for the Electric Coffee Mug Heater.""";Ubiquitous;Explicit;Functional;
8;The Electric Coffee Mug Heater SHALL comply with USB Power Delivery (USB PD) power requirements.;"""The Electric Coffee Mug Heater relies on USB Power Delivery (USB PD) for its power requirements, ensuring compatibility with a wide range of power sources while adhering to safety standards.""";Ubiquitous;Implicit, Incomplete;Non-Functional;Specify the exact version or details of the USB PD standard. What power requirements is expected to be followed since below power is defined for maximum power itself
9;The Electric Coffee Mug Heater SHALL operate within the parameters specified by the USB PD standard.;"""The device must operate within the parameters specified by the USB PD standard to maintain both performance and safety.""";Ubiquitous;Implicit;Non-Functional;Specify the exact version or details of the USB PD standard.
10;The Electric Coffee Mug Heater SHALL accept a minimum input voltage of 5V.;"""Input Voltage Range: The heater can accept input voltages ranging from 5 V to 20 V""";Ubiquitous;Explicit;Non-Functional;
11;The Electric Coffee Mug Heater SHALL accept a maximum input voltage of 20V.;"""Input Voltage Range: The heater can accept input voltages ranging from 5 V to 20 V""";Ubiquitous;Explicit;Non-Functional;
alt. 10, 11b;The Electric Coffee Mug Heater SHALL operate with input voltage from 5V to 20V,;"""Input Voltage Range: The heater can accept input voltages ranging from 5 V to 20 V""";Ubiquitous;Explicit;Non-Functional;
12;The Electric Coffee Mug Heater SHALL have a maximum current rating of 3A with any USB PD supply voltage level.;"""Maximum Current Ratings per Voltage Level: At 5 V: 3 A, At 9 V: 3 A, At 12 V: 3 A, At 15 V: 3 """;Ubiquitous;Contradictory;Non-Functional;Contradictory with 70W max power requirement. Req ID 13
alt. 12b;The Electric Coffee Mug Heater SHALL not draw more than 3 A at any supported USB PD voltage.;"""Maximum Current Ratings per Voltage Level: At 5 V: 3 A, At 9 V: 3 A, At 12 V: 3 A, At 15 V: 3 """;Ubiquitous;Contradictory;Non-Functional;Contradictory with 70W max power requirement. Req ID 13
13;The Electric Coffee Mug Heater SHALL be designed for a maximum power input of 70 W;"""Maximum Power Input: The device is designed for a maximum power input of 70 W. Exceeding this limit is not permissible as per USB PD standard""";Ubiquitous;Contradictory;Non-Functional;Contradictory with requirement 12
14;IF the USB PD cannot deliver the required power levels, THEN the Electric Coffee Mug Heater SHALL modulate its temperature settings to match the available power supply without exceeding it.;"""In situations where the host power supply cannot provide the required power levels, the heater must automatically adjust its heating controls. The device will modulate temperature settings to align with the available power supply without exceeding it.""";Unwanted Behavior;Explicit;Functional;
15;The Electric Coffee Mug Heater SHALL monitor internal temperatures.;"""The heater must automatically shut down if internal temperatures exceed safe operational limits to prevent any risk of fire or damage.""";Ubiquitous;Explicit;Functional;
16;IF internal temperatures exceed safe operational limits, THEN the Electric Coffee Mug Heater SHALL automatically shut down.;"""The heater must automatically shut down if internal temperatures exceed safe operational limits to prevent any risk of fire or damage."" & ""**Overheating Protection:** The heater must automatically shut down if internal temperatures exceed safe operational limits to prevent any risk of fire or damage.""";Unwanted Behavior;Incomplete,Ambiguous;Functional;Actions needed: Specify safe operating limits.
17;The Electric Coffee Mug Heater SHALL detect when the mug is empty.;"""The device should detect when the mug is empty by monitoring parameters such as weight, heat transfer, or temperature change rates.""";Ubiquitous;Explicit;Functional;
18;IF the Electric Coffee Mug Heater detects an empty mug, THEN it SHALL perform an automatic shut-off.;"""Upon detecting an empty mug, it must perform an automatic shut-off to conserve energy and prevent potential overheating.""";Unwanted Behavior;Explicit;Functional;
alt. 18b;WHEN an empty mug is detected, the Electric Coffee Mug Heater SHALL perform an automatic shut-off.;"""Upon detecting an empty mug, it must perform an automatic shut-off to conserve energy and prevent potential overheating.""";Event-driven;Explicit;Functional;
21;The Electric Coffee Mug Heater SHALL incorporate a child lock mechanisms.;"""To prevent unintended operation by children or unauthorized users, a child lock mechanism must be incorporated.""";Ubiquitous;Incomplete;Functional;Action needed: Clarify what is child lock mechanism
alt. 21b;The Electric Coffee Mug Heater SHALL include a child lock mechanism.;"""To prevent unintended operation by children or unauthorized users, a child lock mechanism must be incorporated.""";Ubiquitous;Incomplete;Functional;
22;The Electric Coffee Mug Heater SHALL have a non-slip base.;"""The heater should have a non-slip base to provide stability and prevent accidental tipping, minimizing the risk of spills.""";Ubiquitous;Incomplete, Unverifiable;Non-Functional;Action needed. What is non-slip base?
23;WHERE glass or ceramic surfaces are included, the Electric Coffee Mug Heater's accessible glass or ceramic surfaces SHALL comply with a maximum temperature rise of 105 °C;"""For glass or ceramic surfaces, the maximum temperature rise is 105 °C""";Optional;Incomplete;Non-Functional;Action needed: “Accessible” needs clarification
24;WHERE metal or painted surfaces are included, the Electric Coffee Mug Heater's accessible metal or painted surfaces SHALL comply with a maximum temperature rise of 85 °C;"""For metal or painted surfaces, the maximum temperature rise is 85 °C""";Optional;Incomplete;Non-Functional;Action needed: “Accessible” needs clarification
25;WHERE accessible surfaces are other than glass, ceramic, metal, or painted, the Electric Coffee Mug Heater's accessible other parts SHALL comply with a maximum temperature rise of 74 °C;"""For other surfaces, the maximum temperature rise is 74 °C""";Optional;Incomplete;Non-Functional;Action needed: “Accessible” needs clarification
alt.  23, 24, 25b;The Electric Coffee Mug Heater SHALL limit accessible surface temperature rise to IEC 60335-1: glass/ceramic ≤ 105°C, metal/painted ≤ 85°C, other ≤ 74°C.;"""- Surface Temperature Limits: Accessible surfaces must comply with temperature rise limits as specified in IEC 60335-1: ... glass or ceramic 105°C ... metal or painted 85°C ... other surfaces 74°C.""";Ubiquitous;Incomplete;Non-Functional;Action needed: “Accessible” needs clarification
26;The Electric Coffee Mug Heater SHALL ensure the Cozy Coffee Mug fits securely.;"""The design must ensure that the Cozy Coffee Mug fits securely on the heater, reducing the likelihood of accidental dislodgement.""";Ubiquitous;Ambiguous, Unverifiable;Non-Functional;Action needed: Secure fit of mug should be defined
27;The Electric Coffee Mug Heater SHALL have Over-Voltage Protection (OVP).;"""Over-Voltage Protection (OVP): To safeguard against input voltage exceeding specified limits.""";Ubiquitous;Explicit;Functional;
alt. 27b;IF the input voltage exceeds specified limits, THEN the Electric Coffee Mug Heater SHALL disconnect the input (OVP).;Over-Voltage Protection (OVP): To safeguard against input voltage exceeding specified limits.;Unwanted Behavior;Explicit;Functional;
28;The Electric Coffee Mug Heater SHALL have Over-Current Protection (OCP).;"""Over-Current Protection (OCP): To prevent current from surpassing maximum ratings.""";Ubiquitous;Explicit;Functional;
alt. 28b;IF the input current exceeds the maximum rating, THEN the Electric Coffee Mug Heater SHALL limit or shut down (OCP).;"""Over-Current Protection (OCP): To prevent current from surpassing maximum ratings.""";Unwanted Behavior;Explicit;Functional;
29;The Electric Coffee Mug Heater SHALL have Short-Circuit Protection (SCP).;"""Short-Circuit Protection (SCP): To automatically disconnect power in the event of a short circuit.""";Ubiquitous;Explicit;Functional;
alt. 29b;IF a short circuit is detected, THEN the Electric Coffee Mug Heater SHALL disconnect power (SCP).;"""Short-Circuit Protection (SCP): To automatically disconnect power in the event of a short circuit.""";Unwanted Behavior;Explicit;Functional;
30;The Electric Coffee Mug Heater SHALL obtain CE Marking.;"""CE Marking: Indicates conformity with health, safety, and environmental protection standards for products sold within the European Economic Area (EEA).""";Ubiquitous;Explicit;Non-Functional;
